phi theta x y z pt prodx prody prodz t pid
-0.52859 2.00281 -30.16500 -1.54070 37.85611 0.00383 -23.08498 4.79389 124.23000 0.77582 11
-2.02759 1.99920 -30.16500 0.78672 32.15761 0.00383 -23.08498 4.79389 124.23000 0.81926 11
-1.21741 2.00018 -30.16500 -0.44874 31.49875 0.00383 -23.08498 4.79389 124.23000 0.82426 11
-1.43193 1.88637 -30.14000 1.32736 30.45587 0.00383 -23.08498 4.79389 124.23000 0.86581 11
-2.63978 2.41854 -30.16500 2.68133 26.98190 0.00383 -23.08498 4.79389 124.23000 0.88924 11
-0.36943 2.68955 -30.16500 1.48752 25.19016 0.00383 -23.08498 4.79389 124.23000 0.89731 11
1.34118 2.75790 3.54030 30.16500 -44.56708 0.00383 3.63794 23.29513 124.23000 2.13138 11
-1.18862 2.73631 1.74767 30.16500 -52.34228 0.00383 3.63794 23.29513 124.23000 2.16024 11
1.54006 2.50394 4.15754 30.16500 -59.43644 0.00383 3.63794 23.29513 124.23000 2.18973 11
1.99358 2.19020 4.05801 30.96948 -60.71501 0.00383 3.63794 23.29513 124.23000 2.19499 11
-1.31130 2.10976 1.00232 30.16500 -63.63762 0.00383 3.63794 23.29513 124.23000 2.21356 11
0.18200 1.87986 2.87943 30.16500 -64.78903 0.00383 3.63794 23.29513 124.23000 2.22192 11
-0.49987 1.39561 2.62806 30.16500 -63.19760 0.00383 3.63794 23.29513 124.23000 2.25567 11
0.70269 2.33944 3.38283 30.16500 -63.40849 0.00383 3.63794 23.29513 124.23000 2.25853 11
2.05054 2.01244 23.39823 -19.29682 -61.56249 0.00305 23.32988 -20.37977 -175.66000 1.62598 11
2.14066 0.91620 30.16500 -3.21610 54.97560 0.00063 30.46397 -5.08774 52.51610 1.28302 11
1.78566 1.02415 4.17812 -30.16500 -64.87551 0.00180 0.59743 -29.45969 -167.09000 1.27182 11
-2.36899 1.17303 3.03787 -30.16500 -63.23343 0.00180 0.59743 -29.45969 -167.09000 1.34610 11
-2.78068 1.22061 3.71151 -30.19000 -59.77277 0.00180 0.59743 -29.45969 -167.09000 1.52196 11
2.19628 2.09071 4.17594 -30.16500 -63.27413 0.00180 0.59743 -29.45969 -167.09000 1.54801 11
1.94043 0.47901 -22.34165 20.31810 -63.03580 0.00045 -25.18848 20.19645 -183.06999 1.27212 11
0.14653 0.66394 -22.76293 19.89683 -55.94972 0.00045 -25.18848 20.19645 -183.06999 1.30569 11
0.50846 0.22481 -22.71843 19.90597 -55.83483 0.00045 -25.18848 20.19645 -183.06999 1.30621 11
-1.87531 0.48564 -1.91706 30.14000 -63.41199 0.00045 -4.08472 32.02610 -183.06999 1.19670 11
-0.36121 2.67439 -1.05572 30.14003 -62.84213 0.00045 -4.08472 32.02610 -183.06999 1.21525 11
2.12099 0.67310 18.88648 -24.82732 -64.23226 0.00045 19.23458 -25.93042 -183.06999 1.11712 11
-2.24421 0.95976 18.41612 -25.02215 -63.80968 0.00045 19.23458 -25.93042 -183.06999 1.11985 11
-1.63921 1.39457 18.28863 -25.07496 -55.16410 0.00045 19.23458 -25.93042 -183.06999 1.18842 11
-1.65558 0.70942 18.33675 -25.05503 -54.17688 0.00045 19.23458 -25.93042 -183.06999 1.20841 11
2.01033 1.08564 19.10089 -24.73851 -51.92359 0.00045 19.23458 -25.93042 -183.06999 1.22111 11
-0.40416 2.00885 17.73944 -25.29308 -48.33251 0.00045 19.23458 -25.93042 -183.06999 1.25418 11
-2.57690 1.98856 -26.21947 15.46313 1.80297 0.00045 -27.54601 16.83963 -183.06999 1.61440 11
-0.04548 0.18497 -26.22514 15.57674 1.55574 0.00045 -27.54601 16.83963 -183.06999 1.64443 11
-0.32873 0.44544 26.49177 -14.86815 -62.61463 0.00104 26.37310 -14.85747 -62.82340 0.47040 11
3.10019 0.60601 27.15814 -13.25940 -57.49824 0.00104 26.37310 -14.85747 -62.82340 0.49149 11
-1.38837 1.65552 26.78119 -14.16943 -55.94093 0.00104 26.37310 -14.85747 -62.82340 0.49924 11
-2.17577 0.60276 27.10368 -13.45619 -55.52846 0.00104 26.37310 -14.85747 -62.82340 0.51435 11
1.90201 1.01064 27.35231 -12.79062 -54.36227 0.00104 26.37310 -14.85747 -62.82340 0.52120 11
0.53115 1.07694 27.35549 -12.78295 -54.24805 0.00104 26.37310 -14.85747 -62.82340 0.52220 11
2.60795 1.22155 27.59493 -12.20489 -53.79279 0.00104 26.37310 -14.85747 -62.82340 0.52920 11
-0.36791 2.58765 30.15263 -2.37927 -43.39293 0.00145 27.97768 -1.77655 -159.00000 1.51756 11
-1.45524 1.32967 -25.90851 -16.27626 -62.63565 0.00309 -23.45054 -11.21177 -147.50000 1.10804 11
-0.92821 1.35288 -25.40222 -17.49857 -62.33340 0.00309 -23.45054 -11.21177 -147.50000 1.11274 11
-0.30903 1.41284 -23.45739 -19.20237 -61.87853 0.00309 -23.45054 -11.21177 -147.50000 1.12172 11
-0.30343 1.18171 -23.45582 -19.20394 -54.58137 0.00309 -23.45054 -11.21177 -147.50000 1.17377 11
-0.53975 1.49806 -23.91557 -18.74418 -55.03136 0.00309 -23.45054 -11.21177 -147.50000 1.22163 11
-0.17581 1.78444 -23.68306 -18.97669 -55.53008 0.00309 -23.45054 -11.21177 -147.50000 1.26259 11
-1.75864 1.95628 -25.70780 -16.76082 -56.11808 0.00309 -23.45054 -11.21177 -147.50000 1.28836 11
-0.57307 1.80721 -25.02068 -18.41968 -56.92243 0.00309 -23.45054 -11.21177 -147.50000 1.29553 11
0.14809 1.73584 -24.13474 -18.52502 -57.03215 0.00309 -23.45054 -11.21177 -147.50000 1.29869 11
-2.18598 1.39172 -25.88079 -16.34319 -56.78910 0.00309 -23.45054 -11.21177 -147.50000 1.32042 11
-0.04573 1.53708 -24.90807 -18.69154 -56.33251 0.00309 -23.45054 -11.21177 -147.50000 1.33135 11
0.63563 1.74844 -24.16883 -18.49093 -56.42363 0.00309 -23.45054 -11.21177 -147.50000 1.33412 11
-2.37327 2.65289 -25.75172 -16.65480 -58.15600 0.00309 -23.45054 -11.21177 -147.50000 1.35391 11
2.69151 2.91034 -25.66737 -16.92376 -62.75515 0.00309 -23.45054 -11.21177 -147.50000 1.36749 11
0.84745 1.33466 29.93388 -6.55816 -64.01601 0.00309 25.01928 -7.04750 -147.50000 1.18491 11
1.47710 1.22923 30.68179 -4.75254 -63.37214 0.00309 25.01928 -7.04750 -147.50000 1.19195 11
0.77654 1.29424 30.98560 -4.01910 -63.08031 0.00309 25.01928 -7.04750 -147.50000 1.19510 11
2.82654 1.23636 30.16500 -0.19122 -61.31456 0.00309 25.01928 -7.04750 -147.50000 1.21239 11
-0.06735 1.14667 30.16500 -4.34080 -58.55173 0.00309 25.01928 -7.04750 -147.50000 1.24077 11
0.15600 1.11465 30.87477 -4.28664 -58.16312 0.00309 25.01928 -7.04750 -147.50000 1.24358 11
-2.33247 1.10146 30.16500 -0.60688 -54.71622 0.00309 25.01928 -7.04750 -147.50000 1.27494 11
